小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
艺龙酒店预订,3,8019,100%,旅游酒店住宿,生活服务旅游酒店住宿,艺龙网信息技术（北京）有限公司,2017-01-20,"艺龙旅行网为消费者提供全球200多个国家75万家酒店住宿及机票、火车票等预定服务；是中国在线和移动住宿服务提供商,致力于打造专注专业、物超所值、智能便捷的住宿预订平台,通过艺龙客户端、PC网站、24小时预订热线（4009-333-333）,更多详情请登录艺龙官网www.elong.com!",5.0
木材材积计算,0,8008,0%,工具计算器,计算器工具,木材材积计算,2017-02-06,木材材积计算器根据国家标准GB4814-84《原木材积表》、GB4815-84《杉原条材积表》设计而成，计算快捷、数据准确。,0.0
日历黄历万年历,0,8003,0%,工具日历,效率天气定日子万年历,日历黄历万年历,2017-01-13,最简洁最好用最方便的随身日历,0.0
踢球,2,7980,80%,体育足球,足球足球比赛运动,lotta,2017-02-07,专为广大足球爱好者打造，在微信群里发起足球比赛报名，后期版本会支持管理球队、出勤统计,4.0
好大夫+,3,7978,100%,健康健康,医疗咨询医生在线就医指导,好大夫+,2017-01-23,好大夫收录50万全国医生，您可根据医院、科室、疾病、地区等维度快速找医生，查看医生简介、出停诊时间地点、专家擅长、患者评价,5.0
LeanTodo,0,7967,0%,工具日历,工作备忘录生活备忘录,LeanTodo,2017-01-24,使用LeanCloud存储SDK实现的LeanTodo应用。,0.0
玲珑快闪店,1,7931,80%,社交社区,测评电商商家自营技能传授,玲珑快闪店,2017-02-08,线上快闪店，实时围观达人传授技能、评测好物、发现属于自己的单品。不定期开铺，等你来玩。,4.0
湖北两会,1,7859,40%,阅读,资讯政治时事,湖北两会,2017-02-07,2017年湖北两会湖北日报专题报道,2.0
钓鱼天气,0,7854,0%,工具天气,钓鱼天气钓鱼指数,钓鱼天气,2017-01-24,钓鱼人天气助手，每天查看钓鱼天气，钓鱼指数,0.0
澳猫购物,0,7854,0%,购物商城,海淘商城澳洲正品,澳猫购物,2017-02-13,澳猫购物——澳洲正品购物,0.0
家居e管家,1,7826,80%,生活家装,装修案例家装建材,搜狐焦点家居,2017-02-07,家居e管家聚集了家居设计领域的装修公司，工长以及设计师，包含大量的装修案例，装修日志，设计作品以及家居美图等。,4.0
深圳航空小助手,1,7812,100%,出行航班,航空航班值机,深圳航空,2017-02-06,深圳航空小助手，关心您的每一次出行体验。为您提供最搞笑的选座值机方案，随后，您将体验预订机票，航班动态。,5.0
小记一笔,5,7805,96%,金融理财,收入开支记帐开销,李金云,2017-02-08,随时随地记录收支情况，方便、快捷的记帐神器。,4.8
珠海报业,3,7789,100%,阅读资讯,新闻最新资讯图片旅游线路,珠海报业,2017-01-18,服务珠海，关注珠海，为大家提供最新的珠海资讯！,5.0
广州交警违法举报,0,7785,0%,出行交通,工具交通生活服务,广州交警违法举报,2017-02-05,广州交警e会员可以对广州市行政区域内发生的交通违法行为进行现场举报。,0.0
淮扬巷子,0,7784,0%,阅读资讯,自媒体平台自媒体,扬州易人科技文化传播有限公司,2017-02-08,淮扬巷子”是一款基于微信小程序研发出的新型本土化综合平台。 它为用户推荐有价值的、个性化的信息，您可将身边正在发生的、好玩的、及时的资讯发布到“淮扬巷子”。它为自媒体人与粉丝搭建线上实时互动，线下交流探讨的桥梁。 “淮扬巷子”区别于其他平台，只要你发布咨询，就能让更多的家乡人认识你，了解你，你身边的亲朋好友都是你的粉丝，更利于个人，企业的宣传。 它可以根据用户的阅读习惯，自动识别精彩内容，精准推荐给您，让您的生活更美好！,0.0
祝福话,1,7770,100%,社交社区,祝福工具节日祝福语春节祝福语,祝福话,2017-02-01,元宵节、情人节即将来到，绞尽脑汁不知该怎么跟TA打招呼，祝福话小程序来帮忙，精美主题贺卡，精选趣味祝福话，给TA一份惊喜，让你的问候与众不同！,5.0
飞蚂蚁英语对话机器人,0,7753,0%,教育单词字典,学习工具英语单词速记,飞蚂蚁英语对话机器人,2017-01-17,飞蚂蚁英语对话机器人小程序帮助你打破不敢说英语的尴尬境地、帮助你提高英语对话能力；机器人会自动用语音以及文字和你对话，在你无聊的时候用来学习英语的好帮手！快来尝试吧！,0.0
百家视角,0,7717,0%,阅读资讯,最新资讯新闻最新科技信息最新体育资讯,百家视角,2017-02-05,"最新科技信息,最新体育资讯，最新娱乐动态",0.0
今年多大,0,7663,0%,工具计算器,年龄计算工具休闲,王辉,2017-02-09,今年多大了？？赶紧查查吧！,0.0
sdkcn+,0,7628,0%,社交社区,技术资讯文章阅读,sdkcn+,2017-01-17,第一个为开发者量身定制的小程序，最新的技术资讯文章，开发工具一手掌握！,0.0
西有小助手,0,7627,0%,购物商城,商城海淘,西有小助手,2017-01-17,"西有小助手小程序经营的都是正宗国际海外店：
　　全球买手店直购，百分百正品保障！
　　全程海关监督，购物流程安全透明！
　　海外商品同时、同款、同价、零时折差价！
　　轻松退换、无忧海购、５-１０天闪电到货！
　　西有小助手保证７天无理由退货！",0.0
99广场舞视频,2,7615,90%,视频在线视频,广场舞视频广场舞教学,99广场舞视频,2017-01-24,热门广场舞视频在线观看，高清视频教学。拥有丰富的网络流行舞曲下载，众多广场舞名师资源。,4.5
广西壮族自治区人民医院掌上医院,0,7609,0%,健康健康,医疗预约挂号检查检验报告查询,广西壮族自治区人民医院掌上医院,2017-02-10,广西区人民医院小程序提供绑定诊疗卡、预约挂号、排队查询、检查检验报告查询、住院押金补缴及费用清单查询等就诊全流程服务。,0.0
图书馆+,0,7584,0%,教育学习,图书馆教育 高校 支付宝 图书馆,鸟窝科技,2017-02-08,整合全国图书馆的检索数据，跟支付宝-校园生活-图书馆，各大高校微信图书馆  数据同步,0.0
三生三世十里桃花TV,1,7483,100%,视频在线视频,电视腾讯视频三生三世十里桃花,三生三世十里桃花TV,2017-02-06,腾讯视频《三生三世十里桃花》特别版,5.0
财经日历VIP,0,7462,0%,金融创投,财经资讯日历数据投资理财,财经日历VIP,2017-02-05,财经日历VIP是一款投资理财小程序应用，财经日历VIP小程序每天都会为投资的朋友带来最新的数据消息，帮助大家在投资的时候能够更有把握的面对数据，特别是那些做现货、外汇的一些朋友们，非常的有用，不要错过哦！,0.0
新华社微悦读,3,7456,100%,阅读资讯,新闻媒体,新华通讯社,2017-02-07,"无需下载、触手可及，小而精、优而简，“新华社微悦读”今天上线啦！据腾讯介绍，新华社微悦读是第一个上线的新闻类微信小程序。

新华社微悦读是新华社在微信小程序的名称，依托新华社遍及全球的庞大新闻信息采集网及强大内容优势，结合微信小程序的轻量化、无需安装、用后即走等特点，用更便捷的传播方式为你开启全新的新闻阅读模式。

新华社微悦读设有首页、现场、图视、记者等栏目，精选的新华社新闻更加适合微传播的特点。",5.0
简单心理课堂,0,7449,0%,教育儿童教育,学习工具微课堂学习辅导心理课程,简单心理课堂,2017-01-17,"简单心理课堂小程序有用吗？
　　在简单心理课堂小程序，有许多有名的心理老师在线为你服务，还为你准备了一些过往的讲课教程，教你如何在真正需要说“不”的时候不说“好”。
　　人生在于不断的突破自己、挑战自己，在关键的时候心理承受能力是关键，有时候需要一些心理上的指导来让你摆脱困境，在简单心理课堂小程序你只要敞开心扉就能得到豁然！来吧，创造更美好的你！",0.0
猎摩,0,7444,0%,工具查询,查看附近车辆信息打击违章停车查看停留时间,猎摩,2017-01-23,摩拜查询工具，实时查看附近的车辆信息（车号，停留时间等），方便摩拜猎人挑选目标打击违章停车。,0.0
考拉信用分,0,7436,0%,金融理财,IT 科技生活服务商业服务金融,考拉,2017-01-20,想知道你使出洪荒之力后能得多少信用分吗？能贷款多少额度吗？能申请到多少额度的白金信用卡吗？……用考拉信用分小程序一测便知！有些信用达人已经测过了！用户可通过小程序查询考拉信用分，更快速、有效地评估自己的贷款额度，轻松申请多家信用贷款和白金信用卡，体验更多便利优惠。 考拉征信APP是集信用评分、个人信用查询和贷款于一体独立征信手机应用产品，打造“要贷款，先评分”的互联网金融良性信贷环境，致力于实现“守信激励、失信惩戒”的征信闭环，方便用户了解自己的信用，不断完善优化自己的信用，让信用创造价值。提供针对个人、商户的全品类征信体系服务，让“信用”为您的生活增添色彩。,0.0
流量圈子,0,7403,0%,工具查询,流量流量查询流量助手,LLZT,2017-01-24,流量随时随地，随心查询订购。,0.0
群约助手,1,7403,100%,社交社区,社交生活学习,群约助手,2017-01-17,当你进入群约助手小程序之后你就会发现这是一个非常有魅力了小程序应用，群约助手小程序有固定的模板供你使用，这些模板都非常的实用漂亮，比如会议活动模板：ＭＢＡ训练营第一期、2016机器学习行业应用国际峰会；比如聚餐聚会模板：十周年班级聚会、跨年狂欢主题派对；还有一些其他的特色性模板！,5.0
今日美食food,0,7362,0%,生活美食,生活美食,今日美食,2017-02-13,每日为您推荐精选多种美食制作视频，满足你的吃货情怀，提高你的厨艺技能。,0.0
FellowPlus 创投数据库,1,7362,100%,金融创投,金融创投数据库,李奶油,2017-02-08,用数据读懂早期投资。覆盖全网 28 万 + 互联网项目，通过多维、结构化的方式展示项目数据，让您准确、及时获取行业和项目信息。,5.0
酒花儿App,0,7360,0%,生活美食,酒花儿啤酒葡萄酒品酒,酒花儿App,2017-02-05,酒花儿致力于提供值得信赖的酒款、酒吧、点评信息，目前已基本覆盖国内市场上流通的所有精酿啤酒和主要城市的精酿酒吧。,0.0
企鹅快速问诊,1,7358,80%,健康健康,医疗咨询健康诊断在线提问,企鹅快速问诊,2017-02-09,企鹅快速问诊是一款在线健康咨询小程序。该服务依托于医联40万优质执业医师资源，3分钟极速响应，7*24小时全天候服务。,4.0
微易笑,0,7348,0%,阅读资讯,微易笑笑话大全趣图恶搞,kevin,2017-02-07,微易笑－新春佳节，微微一笑！,0.0
猫眼专业版,0,7300,0%,阅读资讯,电影票房电影资讯,猫眼专业版,2017-01-18,猫眼专业版票房小程序，秒级票房实时看，成就专业电影人,0.0
同程酒店预订,1,7284,100%,旅游酒店住宿,酒店预订周边搜索,同程酒店预订,2017-01-23,来自同程旅游的酒店，酒店特惠天天有，海量酒店随你订。民宿、度假、特色酒店应有尽有，只有你想不到，没有你订不到的房。,5.0
法律工具,0,7283,0%,工具查询,日期计算利率查询诉讼费计算法规查询,法律工具,2017-01-23,主要功能有日期计算，利率查询，诉讼费计算，残疾赔偿金、抚养费、交强险计算、记事本，交通事故常用法规查询等。,0.0
呆萌表情包,0,7257,0%,社交表情头像,社交表情包,怪兽Monti,2017-01-20,最火最赞的第一表情包小程序！快速找图、自定义修改表情包、直接收藏表情，实乃好友斗图必备神器！,0.0
表情相机,0,7234,0%,社交表情头像,搞笑图片动态表情表情聊天表情,表情相机,2017-01-18,每天为你推荐最热门表情包，聊天表情、搞笑表情图片、金馆长表情、动态表情、祝福表情、节目表情等。,0.0
二十四节气查询,0,7228,0%,工具天气,工具节气养生指导日历,二十四节气查询,2017-01-19,为用户提供二十四节气查询功能,0.0
蜂鸟影赛,1,7212,20%,图像摄影,视频工具社交,蜂鸟影赛,2017-01-19,摄影爱好者可以在【蜂鸟影赛】看到蜂鸟最新的影赛活动，发片参赛，并查看参赛作品，简单易用。,1.0
ZAKER资讯,1,7192,60%,阅读资讯,票务阅读图片新闻资讯,ZAKER,2017-02-09,将全网的资讯与图片等富媒体内容，尤其是本地权威媒体生产的内容提供给本地用户，也是本地权威的，综合的信息发布平台。,3.0
1024好项目,1,7189,100%,金融创投,投资创投项目,向翔,2017-02-09,1024好项目由创业邦出品的互联网项目案例讲解音频课程，你还在迷茫么？来这里听听吧！,5.0
公交客实时查询,0,7170,0%,出行交通,公交查询线路查询,公交客实时查询,2017-01-20,公交客是一款查询公交车实时位置的工具。,0.0
小猪拼团商城,0,7157,0%,购物商城,拼团商城电商,小猪拼团商城,2017-02-07,拼团商城多人成团购买商品，可获得指定优惠价格,0.0
